,precision,recall,f1-score,support
10,0.2967818831942789,0.3996789727126806,0.34062927496580025,623.0
40,0.5664488017429193,0.5179282868525896,0.5411030176899063,502.0
50,0.6731843575418994,0.7172619047619048,0.6945244956772334,336.0
60,0.8775510204081632,0.7771084337349398,0.8242811501597445,166.0
1140,0.6973451327433628,0.7378277153558053,0.7170154686078253,534.0
1160,0.8165997322623829,0.7711757269279393,0.7932379713914174,791.0
1180,0.3408239700374532,0.5947712418300654,0.43333333333333335,153.0
1280,0.6858006042296072,0.46611909650924027,0.5550122249388753,974.0
1281,0.5061728395061729,0.49516908212560384,0.5006105006105006,414.0
1300,0.7776735459662288,0.821605550049554,0.7990361445783133,1009.0
1301,0.8052631578947368,0.9503105590062112,0.8717948717948718,161.0
1302,0.7017543859649122,0.7228915662650602,0.712166172106825,498.0
1320,0.7444444444444445,0.7237654320987654,0.7339593114241002,648.0
1560,0.8081023454157783,0.7467980295566502,0.7762416794674859,1015.0
1920,0.8781038374717833,0.9036004645760743,0.8906697195191757,861.0
1940,0.6456310679611651,0.8260869565217391,0.7247956403269755,161.0
2060,0.7813163481953291,0.7367367367367368,0.7583719732096857,999.0
2220,0.6615384615384615,0.7818181818181819,0.7166666666666667,165.0
2280,0.6176165803108808,0.6260504201680672,0.6218049034950444,952.0
2403,0.7726161369193154,0.6617801047120419,0.7129159616469262,955.0
2462,0.6142433234421365,0.7288732394366197,0.6666666666666666,284.0
2522,0.8501945525291829,0.875751503006012,0.8627838104639685,998.0
2582,0.6742424242424242,0.6872586872586872,0.6806883365200764,518.0
2583,0.9623762376237623,0.9520078354554359,0.9571639586410635,2042.0
2585,0.702048417132216,0.7555110220440882,0.7277992277992278,499.0
2705,0.6452762923351159,0.6557971014492754,0.6504941599281222,552.0
2905,0.8514285714285714,0.8563218390804598,0.8538681948424068,174.0
accuracy,0.7345148374941121,0.7345148374941121,0.7345148374941121,0.7345148374941121
macro avg,0.7020214249067659,0.7218520625944603,0.7080605494989718,16984.0
weighted avg,0.7432319895998656,0.7345148374941121,0.7362102493668906,16984.0
